#{"t_start": 1740659830.023298, "env_id": "None"}
r,l,t
-32144594.25475,840,45.056033
-32442879.050472,840,45.29691
-32845804.039339,840,45.550599
-31996861.831391,840,45.808344
-32347289.712217,840,46.068917
-32111991.605242,840,46.326513
-32070626.585604,840,46.57105
-32837534.241543,840,46.821625
-32223218.253854,840,47.066035
-32169568.823939,840,47.30868
-32262041.918226,840,47.550029
-32091785.727832,840,47.819067
-32250225.81584,840,48.087856
-32349857.313685,840,48.338387
-32302991.720518,840,48.584387
-32745422.149595,840,48.837557
-32949961.076382,840,49.080959
-32153804.205273,840,49.32344
-32518649.51039,840,49.564285
-32477912.218876,840,49.809617
-32680979.735984,840,50.063723
-32442787.413318,840,50.310411
-31124202.498185,840,50.554053
-32208666.487916,840,50.803054
-31816653.257435,840,51.047054
-32478074.048683,840,51.287311
-32349036.025019,840,51.53331
-32633026.88076,840,51.77231
-32134968.184217,840,52.035004
-32240803.814966,840,52.28195
-32293366.329707,840,52.51984
-31938576.138859,840,52.768783
-32257030.4071,840,53.009062
-32243673.256908,840,53.243519
-32215908.278424,840,53.478959
-32440173.332435,840,53.717941
-31873415.661161,840,53.958102
-32598412.094085,840,54.20156
-32120568.107829,840,54.444421
-32497706.120676,840,54.689
-32024408.93334,840,54.928265
-32199556.292322,840,55.170775
-32759195.747784,840,55.428044
-32407538.511395,840,55.677607
-32720450.593026,840,55.915782
-31980460.047226,840,56.149981
-32469526.902189,840,56.39007
-31758294.396033,840,56.640751
-32365389.465754,840,56.882964
-31923430.629255,840,57.126895
-31983026.434527,840,57.364383
-32365569.437888,840,57.603485
-32048278.034453,840,57.852021
-32263300.573395,840,58.094743
-31631809.913696,840,58.334926
-32285935.390498,840,58.573922
-32858973.20173,840,58.836097
-32328350.292455,840,59.073277
-32778112.672506,840,59.31151
-32127889.58559,840,59.551928
-31922485.466582,840,59.794693
-32361315.565959,840,60.038085
-32179585.975848,840,60.288947
-32312608.453362,840,60.554372
-32742920.455623,840,60.800773
-32623362.03892,840,61.040941
-32013234.511849,840,61.278324
-32328044.189529,840,61.517291
-32535165.684807,840,61.759988
-32456158.851568,840,62.007536
-32562596.416719,840,62.256693
-32432260.367778,840,62.50536
-32345044.95497,840,62.749569
-32187650.35357,840,63.001565
-32596901.768156,840,63.240112
-32480989.610916,840,63.479048
-32404601.268874,840,63.719492
-32522645.163647,840,63.955862
-32246856.408644,840,64.189831
-32031314.432682,840,64.424003
-32299534.833409,840,64.65983
-32887126.939706,840,64.898017
-32006995.422967,840,65.148734
-32015684.160634,840,65.395016
-32501969.172713,840,65.642017
-32714181.500888,840,65.881583
-32084888.932904,840,66.122452
-32470749.108421,840,66.360947
-32266988.367484,840,66.604944
-32187991.061671,840,66.867555
-32652569.674406,840,67.117988
-32301541.661862,840,67.35954
-32082105.696264,840,67.624789
-32240982.448607,840,67.874501
-32316796.893264,840,68.126157
-31836794.181386,840,68.368344
-32357391.693727,840,68.617395
-32262639.436214,840,68.860023
-32204505.247979,840,69.101375
-32260070.853666,840,69.351546
-32397763.076214,840,69.606599
-32735286.025615,840,69.863454
-32074707.877807,840,70.114911
-32704178.41528,840,70.375041
-32070881.776713,840,70.638211
-32051259.063456,840,70.885168
-32517195.795252,840,71.124963
-32385875.642953,840,71.362962
-32816992.135642,840,71.601443
-32252170.326208,840,71.837271
-32533518.205908,840,72.073326
-32920482.923282,840,72.318377
-32635674.01316,840,72.561989
-32380905.44129,840,72.803326
-31857329.924478,840,73.048958
-31749889.241965,840,73.296326
-32354886.471826,840,73.536556
-32120694.190897,840,73.778266
-31964040.430755,840,74.020899
-31643335.279482,840,74.285028
-32245158.987219,840,74.533121
-31734471.865401,840,74.777015
-32634821.162271,840,75.033206
-32218482.89234,840,75.284703
-32458726.467919,840,75.526762
-31891666.144692,840,75.77417
-31510009.234537,840,76.016334
-32300127.392504,840,76.257569
-32505703.225072,840,76.498576
-32402870.373403,840,76.747594
-32162082.907793,840,76.996619
-31954933.465815,840,77.245367
-32208230.900447,840,77.490267
-32383616.666492,840,77.729271
-31867342.414606,840,77.967025
-32337830.941753,840,78.212711
-32029478.987092,840,78.467035
-32458770.237443,840,78.711999
-32046617.083123,840,78.960597
-32020185.408767,840,79.216987
-31597222.283793,840,79.476998
-32125306.034295,840,79.720681
-32667959.313348,840,79.969327
-32187252.66814,840,80.21824
-32021323.696689,840,80.467975
-32316132.2443,840,80.7049
-32409203.967079,840,80.943515
-32611002.674587,840,81.181145
-32150067.061556,840,81.417159
-32064885.083021,840,81.654465
-32282535.748629,840,81.893646
-32683519.953632,840,82.134976
-32286300.70947,840,82.383555
-32168565.142776,840,82.63393
-32701125.132757,840,82.879893
-32211615.501969,840,83.122141
-32918722.968618,840,83.369917
-32463954.926876,840,83.609322
-32349046.335346,840,83.845311
-32418995.088763,840,84.080023
-31844814.964083,840,84.315022
-32301511.088437,840,84.550515
-33012174.37026,840,84.786457
-31868499.171259,840,85.022875
-31630286.631401,840,85.261071
-32518713.153304,840,85.495847
-31812813.175288,840,85.731887
-32511868.16105,840,85.966465
-32515400.849065,840,86.200848
-31932217.489795,840,86.436225
-32210074.509392,840,86.671225
-32856865.892926,840,86.905366
-31935682.214398,840,87.141156
-32619637.844203,840,87.376634
-31918946.38997,840,87.611374
-32170347.171169,840,87.846659
-32137687.214944,840,88.08053
-32209538.983995,840,88.315565
-32321576.416025,840,88.549565
-32080335.005796,840,88.784971
-32566317.114116,840,89.020427
-32235536.514743,840,89.254563
-32377057.666262,840,89.488827
-32301101.294293,840,89.724355
-32100807.147649,840,89.957551
-31691492.258652,840,90.1929
-32333023.391408,840,90.42892
-32089288.103083,840,90.664062
-32204507.900495,840,90.898062
-32378373.514993,840,91.132061
-32092824.795588,840,91.366061
-32561600.494144,840,91.602238
-32185377.074964,840,91.83687
-31707778.584455,840,92.073733
-32433674.03975,840,92.310977
-32248536.826348,840,92.55752
-32611544.796357,840,92.803225
-32244825.23559,840,93.041965
-32490650.296518,840,93.286884
-31942387.039894,840,93.529831
-32124653.618013,840,93.766915
-32138405.450885,840,94.007069
-32509033.46214,840,94.251203
-32099921.360391,840,94.48746
-33018209.382964,840,94.725225
-32429795.871566,840,94.960995
-31870529.392498,840,95.201256
-32378989.859036,840,95.437924
-32352169.133671,840,95.684149
-32088286.255741,840,95.930423
-32659605.835641,840,96.167989
-32272847.295376,840,96.407566
-32196601.61752,840,96.643207
-32506139.124973,840,96.879207
-32036925.739656,840,97.113333
-31863183.359221,840,97.349583
-32091764.675292,840,97.593211
-32366874.098931,840,97.837275
-32313769.215493,840,98.078652
-32503436.812232,840,98.323011
-32544114.397411,840,98.578893
-32238068.78162,840,98.822757
-32445420.477998,840,99.068996
-31851571.017844,840,99.317197
-32534046.687012,840,99.578309
-31834437.673647,840,99.815515
-32970968.4899,840,100.052268
-32395057.833869,840,100.304842
-32636758.663579,840,100.540835
-31791968.864511,840,100.781996
-32322734.37526,840,101.020594
-32108518.013054,840,101.259934
-32112675.289801,840,101.500353
-32339826.385311,840,101.733867
-32636648.278159,840,101.981006
-32623616.976644,840,102.218868
-32001197.835653,840,102.464866
-32887221.109587,840,102.709747
-32377011.731428,840,102.94586
-32405858.777475,840,103.18028
-32197767.257103,840,103.416598
-32430494.787312,840,103.649689
-32343881.636308,840,103.88397
-32141681.313598,840,104.117505
-32482390.53426,840,104.354882
-32515991.220613,840,104.590988
-32475383.967302,840,104.832272
-32210701.655995,840,105.068177
-32603120.763056,840,105.305367
-32984260.255267,840,105.553854
-32938216.113515,840,105.805647
-32125567.09532,840,106.054119
-32470678.228914,840,106.299004
-32246759.638002,840,106.560337
-32753859.027804,840,106.81015
-32231180.592741,840,107.05761
-32295493.553186,840,107.306662
-32368153.468578,840,107.577171
-32422826.376524,840,107.832194
-32432181.847805,840,108.084713
-31759163.04776,840,108.338372
-32014940.342612,840,108.573998
-32165275.319293,840,108.816632
-32343736.172246,840,109.051915
-32085752.809606,840,109.289268
-32853958.627309,840,109.535201
-32645880.194866,840,109.775975
-32248302.338632,840,110.016011
-32371117.445497,840,110.265939
-32050292.579904,840,110.503742
-32817479.051781,840,110.739018
-32069804.484188,840,110.975018
-32391769.051518,840,111.210018
-32039233.873842,840,111.445018
-32217183.747842,840,111.679615
-32044986.420815,840,111.914099
-31857095.594874,840,112.149025
-32316284.352495,840,112.384024
-31962511.262055,840,112.619029
-32209158.350195,840,112.853367
-31842439.197902,840,113.087229
-32550717.081822,840,113.324761
-32312290.060606,840,113.567384
-32437503.754938,840,113.806087
-31874273.827969,840,114.041963
-32293468.780217,840,114.281964
-32023257.666822,840,114.517184
-31835659.132887,840,114.755364
-32457450.225191,840,114.989859
-31702582.690472,840,115.228924
-32548919.87833,840,115.464361
-32549124.121379,840,115.699347
-32127144.466541,840,115.933982
-32794074.370601,840,116.168983
-31808783.535694,840,116.403993
-32188455.080748,840,116.637543
-32232322.848928,840,116.87161
-32340824.792006,840,117.105845
-32721129.431352,840,117.340791
-32458782.704591,840,117.576385
-32438223.278364,840,117.810893
-32664108.842729,840,118.044893
-32202487.115393,840,118.279893
-32478477.021453,840,118.514902
-32243561.614307,840,118.748987
-32211947.896287,840,118.983984
-32244411.461434,840,119.218985
-32905186.007599,840,119.453984
-32306878.795518,840,119.688914
-31844619.02096,840,119.922913
-32108835.634795,840,120.157914
-32137558.780323,840,120.392071
-32584372.306458,840,120.626071
-32185307.71307,840,120.861335
-31779341.911566,840,121.096715
-32331625.369728,840,121.331625
-32985756.273798,840,121.565909
-33194746.559383,840,121.799909
-31944029.742341,840,122.034321
-32207335.287358,840,122.267422
-32440734.471386,840,122.501803
-32681135.962168,840,122.735133
-32911242.364089,840,122.969946
-32443341.225906,840,123.204916
-31920548.060072,840,123.466157
-32689258.281018,840,123.718975
-32355353.759669,840,123.973929
-32071289.033248,840,124.227534
-32477166.697538,840,124.481488
-32466254.989887,840,124.729636
-32062351.642406,840,124.972616
-31907733.090915,840,125.239899
-32261841.052078,840,125.490739
-32340518.2474,840,125.737942
-32081104.228177,840,125.985353
-32346375.980594,840,126.223568
-32266376.845745,840,126.464646
-32213187.228053,840,126.707043
-32870426.105398,840,126.951082
-32134951.337469,840,127.193824
-31776580.561184,840,127.451778
-32466783.344665,840,127.702028
-32453735.572058,840,127.955708
-32367332.704349,840,128.204742
-32091654.593365,840,128.451982
-32437289.575213,840,128.698305
-31810355.062287,840,128.944514
-32205664.56331,840,129.192046
-32176212.59046,840,129.438044
-31992932.927239,840,129.686043
-32395071.067283,840,129.949941
-32223450.077217,840,130.186849
-32233260.242424,840,130.43129
-32634472.414076,840,130.678348
-31851532.182949,840,130.916613
-32287067.755,840,131.154162
-32194408.403096,840,131.407398
-31960389.833003,840,131.661514
-32363782.552531,840,131.916633
-32583298.96552,840,132.162186
-32524399.803909,840,132.399956
-32372717.000811,840,132.636412
-32207886.23521,840,132.871444
-32816627.020927,840,133.107893
-32543733.80199,840,133.35006
-32194296.476229,840,133.593018
-32206700.127689,840,133.832021
-32317050.327834,840,134.078401
-32406032.786178,840,134.326867
-32081426.506756,840,134.571497
-32348754.644044,840,134.812689
-31913352.763527,840,135.047789
-32303083.244514,840,135.299588
