#{"t_start": 1740660108.039301, "env_id": "None"}
r,l,t
-6050.26,15,4.468502
-13360.91,15,4.485507
-8108.4875,15,4.509499
-7980.8725,15,4.533501
-5198.28,15,4.554501
-6766.6375,15,4.581638
-5190.315,15,4.6005
-9742.015,15,4.620501
-8965.515,15,4.639499
-12159.185,15,4.654499
-5090.635,15,4.679502
-8661.84,15,4.697647
-5511.2775,15,4.720772
-6328.2475,15,4.739985
-7222.2375,15,4.759299
-3818.0075,15,4.778929
-11527.0475,15,4.801381
-6165.4325,15,4.816522
-7897.51,15,4.836605
-3483.235,15,4.857883
-5507.09,15,4.874882
-6278.635,15,4.889013
-7728.29,15,4.91258
-8547.03,15,4.934688
-7079.54,15,4.957127
-5229.465,15,4.975127
-7249.6225,15,4.994252
-6752.4,15,5.020534
-8553.0475,15,5.042631
-5581.2275,15,5.060641
-4326.2875,15,5.07764
-6216.825,15,5.095777
-8121.2725,15,5.119005
-6386.6925,15,5.134108
-7927.6125,15,5.154106
-4202.025,15,5.17153
-7288.1825,15,5.192533
-9290.625,15,5.211765
-7580.6875,15,5.234106
-10365.4375,15,5.252106
-7070.495,15,5.270106
-6328.4225,15,5.290291
-7354.4225,15,5.308287
-8478.3475,15,5.325287
-7893.5725,15,5.350412
-7212.02,15,5.365523
-4970.26,15,5.384628
-9014.4525,15,5.403626
-11403.045,15,5.424147
-6814.14,15,5.444148
-6730.9775,15,5.460234
-6870.3125,15,5.479234
-8621.265,15,5.497234
-11359.2,15,5.511241
-6342.83,15,5.529237
-7968.2225,15,5.55042
-18051.214365,15,5.57548
-7975.4225,15,5.601676
-7425.725,15,5.624676
-5889.8975,15,5.643787
-6793.89,15,5.664891
-3091.3125,15,5.67989
-18998.879789,15,5.69689
-7762.6225,15,5.712977
-29350.71698,15,5.731977
-8323.3575,15,5.748975
-9904.1,15,5.774978
-6890.6125,15,5.796977
-4336.66,15,5.817099
-57429.746962,15,5.834091
-6726.39,15,5.855195
-5131.135,15,5.877317
-2361.525,15,5.896317
-7361.505,15,5.914318
-7808.6075,15,5.934316
-8055.58,15,5.955317
-8751.225,15,5.974317
-8392.735,15,5.997315
-5657.5,15,6.018317
-3560.275,15,6.041545
-7799.6125,15,6.059315
-10513.37,15,6.075317
-4973.7475,15,6.098316
-8548.4125,15,6.117316
-5696.3125,15,6.136317
-8027.955,15,6.153421
-8184.3575,15,6.177662
-6923.345,15,6.204802
-4735.7875,15,6.228064
-8221.2075,15,6.246246
-53026.744232,15,6.264679
-7669.655,15,6.284029
-7790.3325,15,6.309243
-5927.9175,15,6.326388
-9039.68,15,6.345808
-6066.3525,15,6.364131
-5227.0125,15,6.383129
-7244.285,15,6.399257
-5742.3475,15,6.422505
-5521.6225,15,6.441773
-4753.05,15,6.462988
-12800.167941,15,6.482464
-14323.545,15,6.502777
-4898.3575,15,6.527184
-4569.7875,15,6.546528
-5331.7225,15,6.563823
-6066.5225,15,6.58511
-4736.625,15,6.605216
-2545.21,15,6.624351
-5529.835,15,6.645994
-122018.575345,15,6.664083
-4977.69,15,6.682318
-3621.385,15,6.700323
-5435.7425,15,6.716321
-7135.4125,15,6.738578
-5643.01,15,6.759691
-7163.29,15,6.780841
-2232.6,15,6.799839
-10264.7175,15,6.819843
-103236.889233,15,6.838842
-4163.6625,15,6.862989
-5440.3975,15,6.881989
-4433.415,15,6.901053
-3994.9975,15,6.922987
-9347.9175,15,6.941151
-3029.53,15,6.962458
-8312.2825,15,6.98457
-2914.8,15,7.006569
-6608.605,15,7.030702
-4339.5,15,7.048703
-6378.8225,15,7.072997
-69932.346011,15,7.090297
-5804.4475,15,7.107378
-5958.91,15,7.123616
-2071.8375,15,7.142604
-4215.835,15,7.160604
-6084.32,15,7.192292
-4476.9475,15,7.227266
-4139.25,15,7.250386
-99564.675843,15,7.270558
-3282.295,15,7.294664
-2153.9625,15,7.312796
-5306.8325,15,7.331903
-5803.975,15,7.35116
-6628.715,15,7.371321
-3270.3,15,7.391455
-4055.6075,15,7.414608
-2449.3875,15,7.436708
-4392.995,15,7.457819
-23812.616506,15,7.47482
-5153.81,15,7.498901
-4069.22,15,7.517993
-2380.5175,15,7.536112
-4142.935,15,7.552258
-5908.465,15,7.571257
-6325.97,15,7.589511
-2487.2725,15,7.610644
-48222.841825,15,7.62876
-1740.6375,15,7.648018
-16937.445639,15,7.669019
-2732.2125,15,7.691172
-107662.600213,15,7.709202
-4758.99,15,7.733398
-3379.875,15,7.756263
-6926.0225,15,7.773405
-2290.29,15,7.789406
-209102.942438,15,7.810552
-5796.5225,15,7.834532
-4776.985,15,7.852779
-4131.0375,15,7.869778
-5872.8475,15,7.887026
-2038.0875,15,7.904016
-9358.16,15,7.920244
-3764.04,15,7.939262
-66359.58528,15,7.956491
-4007.5975,15,7.978516
-4844.9125,15,8.000819
-177584.506858,15,8.020817
-96075.697511,15,8.039817
-2811.75,15,8.059937
-4311.01,15,8.076123
-4024.115,15,8.095029
-3601.3375,15,8.117053
-130470.234134,15,8.13603
-138719.32682,15,8.16002
-72948.71886,15,8.18003
-2380.3975,15,8.20202
-9369.61,15,8.222029
-6107.0725,15,8.24203
-5109.5625,15,8.264177
-52480.948886,15,8.288316
-3426.085,15,8.309479
-5747.05,15,8.327947
-96291.737367,15,8.348951
-4665.525,15,8.370094
-5056.2375,15,8.390283
-3879.1,15,8.40839
-141235.662569,15,8.430539
-7107.1975,15,8.453831
-2871.32,15,8.482823
-5224.905,15,8.501992
-5290.0475,15,8.520159
-9933.125,15,8.539313
-5274.46,15,8.560709
-4775.95,15,8.578717
-23996.153235,15,8.604963
-1675.81,15,8.628096
-6642.4375,15,8.648417
-3398.9525,15,8.667552
-4058.34,15,8.684552
-87717.308335,15,8.712804
-6694.4125,15,8.734057
-142317.371272,15,8.755229
-1444.2,15,8.775466
-3260.935,15,8.794598
-6262.7225,15,8.819729
-31734.032844,15,8.842843
-3933.69,15,8.861974
-4057.075,15,8.885115
-116631.397119,15,8.919253
-224945.217902,15,8.951638
-4504.425,15,8.97176
-3968.25,15,8.990757
-73871.48378,15,9.007757
-3632.03,15,9.031875
-6036.09,15,9.050013
-4553.2275,15,9.069654
-5457.920474,15,9.086654
-281375.953719,15,9.105727
-97811.777826,15,9.121727
-4245.395,15,9.144876
-4297.6,15,9.163984
-293823.05344,15,9.182984
-5713.3225,15,9.198983
-51856.718652,15,9.220982
