#{"t_start": 1740660101.043639, "env_id": "None"}
r,l,t
-4100.6625,15,1.575498
-5966.5325,15,1.582496
-4100.6625,15,1.588496
-4690.2475,15,1.5955
-4100.6625,15,1.602829
-5966.5325,15,1.6101
-3413.9625,15,1.616385
-4100.6625,15,1.623393
-3413.9625,15,1.630393
-3413.9625,15,1.636399
-4787.3625,15,1.643394
-4787.3625,15,1.650393
-4100.6625,15,1.657682
-5376.9475,15,1.664393
-3413.9625,15,1.671393
-3413.9625,15,1.678393
-5376.9475,15,1.684393
-4787.3625,15,1.691386
-3413.9625,15,1.698394
-3413.9625,15,1.705393
-4690.2475,15,1.711699
-4100.6625,15,1.718998
-5376.9475,15,1.725998
-3413.9625,15,1.732997
-3413.9625,15,1.739266
-4100.6625,15,1.746551
-3413.9625,15,1.753266
-3413.9625,15,1.760553
-3413.9625,15,1.766831
-4612.8475,15,1.773551
-4100.6625,15,1.780552
-3413.9625,15,1.787551
-4100.6625,15,1.794551
-4100.6625,15,1.800552
-4100.6625,15,1.807551
-4100.6625,15,1.814551
-4690.2475,15,1.821553
-5376.9475,15,1.828552
-4100.6625,15,1.835551
-3413.9625,15,1.842552
-3413.9625,15,1.848857
-4612.8475,15,1.856148
-4690.2475,15,1.863155
-4690.2475,15,1.86944
-3413.9625,15,1.876439
-4690.2475,15,1.883441
-4612.8475,15,1.890439
-4100.6625,15,1.897549
-5376.9475,15,1.903439
-3413.9625,15,1.910739
-4100.6625,15,1.918005
-3413.9625,15,1.925006
-5966.5325,15,1.931005
-5966.5325,15,1.938005
-4787.3625,15,1.945006
-3413.9625,15,1.952277
-3413.9625,15,1.958573
-4787.3625,15,1.965572
-4100.6625,15,1.97184
-4612.8475,15,1.97884
-3413.9625,15,1.98584
-4787.3625,15,1.992841
-4787.3625,15,1.999128
-4100.6625,15,2.006414
-3413.9625,15,2.013422
-4100.6625,15,2.019752
-3413.9625,15,2.026752
-5966.5325,15,2.033753
-3413.9625,15,2.040753
-4100.6625,15,2.048057
-4100.6625,15,2.054067
-4100.6625,15,2.061348
-3413.9625,15,2.068657
-3413.9625,15,2.074659
-3413.9625,15,2.081657
-5889.1325,15,2.088657
-4690.2475,15,2.095658
-4100.6625,15,2.102952
-3413.9625,15,2.109235
-4100.6625,15,2.116485
-3413.9625,15,2.123494
-4100.6625,15,2.130494
-4690.2475,15,2.136493
-3413.9625,15,2.143494
-4690.2475,15,2.150749
-4100.6625,15,2.157029
-3413.9625,15,2.164037
-4690.2475,15,2.171312
-3413.9625,15,2.178312
-3413.9625,15,2.185314
-3413.9625,15,2.192313
-4612.8475,15,2.1995
-4100.6625,15,2.206501
-4690.2475,15,2.212713
-3413.9625,15,2.219996
-3413.9625,15,2.22699
-4100.6625,15,2.233996
-4100.6625,15,2.241281
-3413.9625,15,2.248567
